,弹幕,vid
0,阿里巴巴,000167
1,都爱！！,000172
2,小尼耶耶耶,000172
3,这个可能是真的,000166
4,新年好,000171
5,新年快乐,000171
6,赏？,000167
7,致敬,000164
8,哈哈哈,000166
9,35个妲己,000171
10,致敬,000164
11,哈哈哈哈哈哈哈哈哈哈哈哈哈,000166
12,五福临门剑,000168
13,就到十点！！！,000167
14,情感商人,000171
15,送财童子,000166
16,要被杀了才知道,000171
17,哈哈哈哈哈哈哈哈哈,000168
18,还不如转给我,000166
19,up可以吐槽下光希英语 哈哈,000165
20,谁信啊就这,000166
21,是的,000171
22,致敬,000164
23,当时的工资水平是多少？,000167
24,这已经是成仙级别了。,000164
25,线上线下混合式教学,000171
26,穿新鞋走老路,000167
27,—8000,000166
28,表白董卿,000172
29,哈哈哈哈哈哈,000171
30,我们干这行的讲究的是诚信,000166
31,我赌up主不知道1938年“仅仅拿到几分钱”,000167
32,300,000166
33,你咋不说那时候的几毛钱，顶富士康加班费的多少啊,000167
34,以前工资不一样啊,000167
35,命都不够,000167
36,不用七年，看一个星期估计都肾虚弹尽粮绝住院了,000171
37,致敬,000164
38,起码有加班费…,000167
39,致敬,000164
40,圈起来了！,000167
41,玩真的不乏味,000171
42,卧龙都说话了你凤雏还不赶紧去交波学费,000166
43,very后面得加形容词副词,000170
44,致敬,000164
45,林平之狂喜,000168
46,DVD都让你折碎了扔集装箱了吧,000171
47,卧槽这小姐姐就在我这个区,000166
48,技术好,000171
49,find me 还可，来北京找到我,000170
50,哈哈哈哈哈哈哈哈哈哈哈,000171
51,温故而知新,000170
52,致敬,000164
53,一眼假,000168
54,正常人谁从头看到尾啊（狗头保命）,000171
55,真实,000170
56,芳心纵火犯,000172
57,喜欢尼格买提,000172
58,esd,000166
59,啥事不会就叫牛,000168
60,高情商：我妹妹很有能量,000170
61,高贵的哈尔滨人又在表示自己没有口音了，我是假哈尔滨人,000165
62,致敬,000164
63,回去了,000167
64,新年快乐,000171
65,致敬,000164
66,韩式英语不是这样的别搞笑了,000165
67,想看看郑秀晶和郑秀妍的口音,000165
68,讲 述 犯 罪 过 程,000171
69,不稀奇吧，就像你听不出大概哪里的方言吗？,000165
70,致敬,000164
71,狠人,000171
72,前进！前进！！不择手段的前进！！！,000171
73,我女神,000172
74,哈哈哈 练普拉提的环 应该,000165
75,共进晚餐,000166
76,致敬,000164
77,老师好,000171
78,撒撒撒撒撒撒撒撒撒撒,000172
79,图片仅供参考，一切以实物为准,000166
80,图 片 仅 供 参 考,000166
81,哈哈,000168
82,操,000167
83,nughty America,000170
84,我需要见面三连,000166
85,背景音乐：她是我的伴奏,000172
86,大     度,000171
87,？？,000166
88,罗老师的文学功底真的好深。。,000171
