序号,vid,uid,弹幕
0,725,574,卧槽
1,563,47,真的，我见过，过年亲戚表演过。
2,392,716,自己的祖国是这么选的吗？
3,69,865,这个可以吃？卧槽
4,421,573,虚 晃 一 枪
5,181,913,等他跌了再买
6,435,357,？
7,905,105,有道理
8,693,828,真-丝滑
9,619,716,哈哈哈哈哈哈哈哈
10,187,506,？？？
11,743,470,哈哈哈哈哈哈哈哈
12,50,56,什么bgm
13,111,147,卧槽
14,171,166,桃金娘我现在练还来得及吗
15,926,785,钱吧
16,787,558,期待
17,843,101,哈哈哈abandon
18,573,338,人家都百年了！
19,381,280,国之败类
20,407,967,光头强也干这个
21,854,589,这个我当时惊了
22,881,940,穷人不是因为你不会受骗而是因为他们不需要在消费端去重新榨取你的钱，在你赚钱的时候他们已经压榨够你了
23,693,203,今天考历史来拜拜匪哥
24,318,339,上次给了
25,764,511,high
26,467,26,下次一定
27,983,221,牛牛扎心了
28,387,594,您的老朋友熊猫姐已上线
29,168,330,我哪都不懂
30,202,921,辽宁也就这样
31,813,583,https://www.
32,332,228,666
33,573,738,把兄弟全部开除
34,583,406,hai
35,940,404,？？我们实习三方协议随便，就业协议才是不能签
36,364,947,这些就是现在的垃圾工厂
37,140,817,哭了
38,573,139,哈哈哈哈哈好可爱
39,71,679,这个背景墙
40,719,147,《全部国有化》
41,355,278,站焊的
42,390,817,敲掉罪恶的狗头
43,301,173,高二不哭
44,712,471,膜拜，牛比
45,918,475,花小烙好可爱
46,11,87,←我也是
47,422,458,AIAIAI！
48,936,80,CHINA
49,386,923,大佬
50,453,225,50w就很好笑
51,318,215,甲斗！
52,468,161,珠海的呀 加油
53,874,334,有才
54,498,287,《暗示》
55,387,217,老龄化也严峻，医学越来越发达
56,965,372,傻狗
57,950,332,你吃过？
58,624,842,好家伙
59,492,68,我看哭了
60,259,666,nbnbnb
61,49,1,卧槽
62,864,222,正道的光
63,171,913,我为啥要在吃饭时打开这个视频
64,339,869,哦？？？
65,234,210,说的很对
66,356,397,举手机+1
67,559,156,明白了
68,909,693,？
69,100,305,哈
70,822,124,AV170001
71,452,216,牛B的想法
72,0,226,雅思听力有 但是蛮简单
73,555,706,哈哈哈哈哈哈哈哈
74,718,866,期待
75,445,549,反正在座的给位都买不起，涨多少无所谓就是个数字而已
76,677,202,带娃来的
